exercise,videoName,frame,good/bad,feedback
barbell biceps curl,barbell biceps curl_1.mp4,3,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,6,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,9,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,12,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,15,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,18,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,21,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,24,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,27,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,30,bad,[RIGHT] Keep elbows pinned to your sides (Horizontal Drift)!
barbell biceps curl,barbell biceps curl_1.mp4,33,good,None
barbell biceps curl,barbell biceps curl_1.mp4,36,good,None
barbell biceps curl,barbell biceps curl_1.mp4,39,good,None
barbell biceps curl,barbell biceps curl_1.mp4,42,good,None
barbell biceps curl,barbell biceps curl_1.mp4,45,good,None
barbell biceps curl,barbell biceps curl_1.mp4,48,good,None
barbell biceps curl,barbell biceps curl_1.mp4,51,good,None
barbell biceps curl,barbell biceps curl_1.mp4,54,good,None
barbell biceps curl,barbell biceps curl_1.mp4,57,good,None
barbell biceps curl,barbell biceps curl_1.mp4,60,good,None
barbell biceps curl,barbell biceps curl_1.mp4,63,good,None
barbell biceps curl,barbell biceps curl_1.mp4,66,good,None
barbell biceps curl,barbell biceps curl_1.mp4,69,good,None
barbell biceps curl,barbell biceps curl_1.mp4,72,good,None
barbell biceps curl,barbell biceps curl_1.mp4,75,good,None
barbell biceps curl,barbell biceps curl_1.mp4,78,good,None
barbell biceps curl,barbell biceps curl_1.mp4,81,good,None
barbell biceps curl,barbell biceps curl_1.mp4,84,good,None
barbell biceps curl,barbell biceps curl_1.mp4,87,good,None
